N,SOA,trial,hit,conf,lat
32,1,23,1,0.30721089224107584,
32,1,24,1,0.28737930449243704,
32,1,25,1,0.2747323453894174,
32,1,26,1,0.2733960029574331,
32,1,27,1,0.3141452872048524,
32,1,28,1,0.2785042030882036,
32,1,29,0,0.2725002253460761,
32,1,30,1,0.26675041502193436,
32,1,31,1,0.27242619548267516,
32,1,32,1,0.2885284395869446,
32,1,33,0,0.2813105430015989,
32,1,34,0,0.2645526610469579,
32,1,35,1,0.2760673704539055,
32,1,36,0,0.3027980336989061,
32,1,37,0,0.2848712131574744,
32,1,38,1,0.3008218481152922,
32,1,39,0,0.27612168828855765,
64,0,0,0,0.2807252895062325,
64,0,1,0,0.24834805601871754,
64,0,2,0,0.23850439788908837,
64,0,3,0,0.25373058424119627,
64,0,4,1,0.2915770408574392,
64,0,5,1,0.2520649831547106,
64,0,6,1,0.250331959353183,
64,0,7,1,0.25972845442557374,
64,0,8,1,0.2454752838919989,
64,0,9,1,0.26315728545340394,
64,0,10,1,0.23474915108510377,
64,0,11,1,0.2536986104204062,
64,0,12,0,0.2741112607540752,
64,0,13,0,0.24093748291003664,
64,0,14,1,0.25875241946063643,
64,0,15,1,0.24033370790559022,
64,0,16,1,0.2556297521636116,
64,0,17,1,0.25729694465195413,
64,0,18,1,0.2674712633579703,
64,0,19,0,0.27217038155156337,
64,0,20,0,0.26437871502079946,
64,0,21,1,0.24183748801977403,
64,0,22,0,0.25670192211612636,
64,0,23,1,0.23987947260502432,
64,0,24,0,0.27609633589157573,
64,0,25,1,0.2710879683975457,
64,0,26,1,0.24638989488578933,
64,0,27,1,0.26082985749505866,
64,0,28,1,0.2786618211198968,
64,0,29,0,0.25573437908820107,
64,0,30,0,0.25339691454662594,
64,0,31,1,0.25702659858497057,
64,0,32,1,0.24651126229162254,
64,0,33,1,0.23855647387750936,
64,0,34,1,0.2380812918618162,
64,0,35,1,0.24700525916118046,
64,0,36,1,0.25497091885351236,
64,0,37,1,0.22837896121481693,
64,0,38,1,0.26030291059485944,
64,0,39,1,0.25917759890064546,
64,1,0,1,0.2651597594906482,
64,1,1,0,0.2524395823713961,
64,1,2,1,0.2680487988217402,
64,1,3,1,0.2576125769062285,
64,1,4,0,0.2700440414832145,
64,1,5,1,0.2696496058515089,
64,1,6,0,0.28057047736611584,
64,1,7,0,0.25599357367043374,
64,1,8,1,0.26582121866631775,
64,1,9,1,0.2423482950835112,
64,1,10,0,0.2546486833941382,
64,1,11,1,0.2758385415108966,
64,1,12,1,0.24665839389116792,
64,1,13,1,0.23988946549452156,
64,1,14,1,0.25018851303101775,
64,1,15,0,0.25340511803130317,
64,1,16,1,0.2882658392769119,
64,1,17,1,0.2539313730476542,
64,1,18,1,0.25740612270689855,
64,1,19,0,0.23338858665597212,
64,1,20,1,0.2452426838060531,
64,1,21,1,0.26029042362675175,
64,1,22,1,0.2572434053761391,
64,1,23,1,0.2557838852543781,
64,1,24,1,0.240263536236702,
64,1,25,1,0.2513659944719925,
64,1,26,1,0.24123459865533597,
64,1,27,1,0.24688369855560918,
64,1,28,1,0.2516121052609832,
64,1,29,0,0.26136038910713316,
64,1,30,1,0.24545766568819505,
64,1,31,0,0.25865286932512704,
64,1,32,1,0.28545325867426463,
64,1,33,1,0.2756897636934716,
64,1,34,1,0.25074179158695137,
64,1,35,1,0.27762959539402926,
64,1,36,1,0.25945679087249196,
64,1,37,1,0.24342016023866278,
64,1,38,1,0.268827481783258,
64,1,39,0,0.26158774667889695,
128,0,0,0,0.24946600381604675,
128,0,1,1,0.24216062429359264,
128,0,2,1,0.22958628666565475,
128,0,3,0,0.23302256783341257,
128,0,4,1,0.22631748629512444,
128,0,5,1,0.25504181733236875,
128,0,6,1,0.2394828134020698,
128,0,7,1,0.2331715449423193,
128,0,8,1,0.24580461547454333,
128,0,9,1,0.24179781782503162,
128,0,10,1,0.23619669503450674,
128,0,11,1,0.24526802719430893,
128,0,12,1,0.24546099314162184,
128,0,13,1,0.23376192905281476,
128,0,14,1,0.2302828989139341,
128,0,15,1,0.24080441049685994,
128,0,16,1,0.24725590311210136,
128,0,17,0,0.23562441599113498,
128,0,18,0,0.24144726640478512,
128,0,19,1,0.2627937525675702,
128,0,20,1,0.22762141486740264,
128,0,21,0,0.2494504423604404,
128,0,22,1,0.24244677783165594,
128,0,23,1,0.22863486632688337,
128,0,24,1,0.24613122093465845,
128,0,25,1,0.23965635043991732,
128,0,26,1,0.25389198614638003,
128,0,27,0,0.24107662969599924,
128,0,28,1,0.24326232502300502,
128,0,29,0,0.2577071188867928,
128,0,30,1,0.24201575254088448,
